Sr. No.,Text,Sentiment,
1,The home team's victory thrilled the fans.,Positive,
2,The underdog pulled off a stunning upset win.,Positive,
3,The star player's injury dampened the team's spirits.,Negative,
4,The referee's controversial call sparked outrage.,Negative,
5,The match ended in a draw leaving fans disappointed.,Neutral,
6,Both teams played well resulting in a tie game.,Neutral,
7,The team's new coach is receiving praise for his tactics.,Positive,
8,The team's recent losing streak has fans concerned.,Negative,
9,The rookie player's impressive debut impressed fans.,Positive,
10,The team's performance was lackluster and disappointing.,Negative,
11,The crowd erupted in celebration after the game-winning goal.,Positive,
12,The coach's decision to bench the star player backfired.,Negative,
13,The rivalry game ended in a thrilling overtime victory.,Positive,
14,Fans are eagerly anticipating the upcoming championship match.,Positive,
15,Injuries plagued the team throughout the season.,Negative,
16,The team's captain delivered a motivating speech before the game.,Positive,
17,The controversial trade deal angered many loyal fans.,Negative,
18,The team's victory secured their spot in the playoffs.,Positive,
19,A last-minute goal sealed the team's fate in the tournament.,Negative,
20,The unexpected defeat left fans stunned and disappointed.,Negative,
21,The sportsmanship displayed by both teams was commendable.,Positive,
22,The team's performance was lackluster and disappointing.,Negative,
23,The team's recent winning streak has fans excited.,Positive,
24,The superstar's return from injury sparked hope for the team.,Positive,
25,The match was marred by accusations of cheating.,Negative,
26,The young prodigy's talent is capturing the attention of fans.,Positive,
27,The team's historic victory will be remembered for years to come.,Positive,
28,The controversial call by the referee overshadowed the game.,Negative,
29,The team's humiliating defeat shattered their confidence.,Negative,
30,The veteran player's retirement saddened fans worldwide.,Negative,
31,The team's unexpected loss stunned everyone.,Negative,
32,The rookie's mistake cost the team the game.,Negative,
33,The coach's innovative strategy paid off in the crucial match.,Positive,
34,The team's impressive performance silenced the critics.,Positive,
35,The championship win brought joy to the entire city.,Positive,
36,The team's morale is at an all-time low after the recent defeat.,Negative,
37,The thrilling comeback victory electrified the crowd.,Positive,
38,The controversial decision by the league sparked debate among fans.,Negative,
39,The team's star player is facing allegations of misconduct.,Negative,
40,The intense rivalry between the two teams led to a heated match.,Negative,
41,The fan-favorite player's injury devastated supporters.,Negative,
42,The team's unity and determination led them to victory.,Positive,
43,The coach's resignation shocked the sports world.,Negative,
44,The team's performance has been inconsistent this season.,Neutral,
45,The dramatic finish to the game left fans on the edge of their seats.,Positive,
46,The team's captain's leadership is inspiring the younger players.,Positive,
47,The controversial decision by the referee changed the outcome of the game.,Negative,
48,The team's unexpected defeat stunned the entire league.,Negative,
49,The superstar's return to form has rejuvenated the team.,Positive,
50,The match ended in a thrilling overtime victory.,Positive,
51,The team's disappointing loss dashed their championship hopes.,Negative,
52,The rivalry game ended in a hard-fought draw.,Neutral,
53,The young prospect's potential is generating excitement among fans.,Positive,
54,The team's resilience in the face of adversity is admirable.,Positive,
55,The controversial call by the umpire sparked outrage among fans.,Negative,
56,The team's performance has been lackluster in recent weeks.,Negative,
57,The unexpected trade deal shocked fans and players alike.,Negative,
58,The coach's motivational tactics are paying dividends for the team.,Positive,
59,The team's victory in the final seconds stunned their opponents.,Positive,
60,The controversial decision by the referee overshadowed the game.,Negative,
61,The team's recent string of losses has fans concerned.,Negative,
62,The young phenom's breakout performance wowed spectators.,Positive,
63,The team's championship aspirations are in jeopardy after the recent defeat.,Negative,
64,The thrilling overtime win sent fans into a frenzy.,Positive,
65,The controversial ruling by the officials changed the course of the game.,Negative,
66,The team's dedication to their craft is evident in their recent performances.,Positive,
67,The devastating loss in the playoffs crushed the team's hopes of a championship.,Negative,
68,The coach's decision to switch up the lineup paid off in the crucial match.,Positive,
69,The team's unity and camaraderie are their greatest strengths.,Positive,
70,The contentious decision by the referee incited anger among fans.,Negative,
71,The team's unexpected victory shocked the league.,Positive,
72,The controversial trade deal sparked controversy among fans.,Negative,
73,The team's star player's suspension is a major blow to their chances.,Negative,
74,The thrilling victory in overtime lifted the team's spirits.,Positive,
75,The team's disappointing performance has fans questioning their abilities.,Negative,
76,The unexpected defeat in the championship game stunned spectators.,Negative,
77,The young rookie's impressive debut has fans excited for the future.,Positive,
78,The team's recent winning streak has reignited hope among supporters.,Positive,
79,The controversial ruling by the referee changed the outcome of the game.,Negative,
80,The team's dominant performance solidified their position as contenders.,Positive,
81,The heartbreaking loss in the final seconds devastated fans.,Negative,
82,The team's resilience in the face of adversity is commendable.,Positive,
83,The controversial decision by the league office has divided fans.,Negative,
84,The home team's victory thrilled the fans.,Positive,
85,The underdog pulled off a stunning upset win.,Positive,
86,The star player's injury dampened the team's spirits.,Negative,
87,The referee's controversial call sparked outrage.,Negative,
88,The match ended in a draw leaving fans disappointed.,Neutral,
89,Both teams played well resulting in a tie game.,Neutral,
90,The team's new coach is receiving praise for his tactics.,Positive,
91,The team's recent losing streak has fans concerned.,Negative,
92,The rookie player's impressive debut impressed fans.,Positive,
93,The team's performance was lackluster and disappointing.,Negative,
94,The crowd erupted in celebration after the game-winning goal.,Positive,
95,The coach's decision to bench the star player backfired.,Negative,
96,The rivalry game ended in a thrilling overtime victory.,Positive,
97,Fans are eagerly anticipating the upcoming championship match.,Positive,
98,Injuries plagued the team throughout the season.,Negative,
99,The team's captain delivered a motivating speech before the game.,Positive,
100,The controversial trade deal angered many loyal fans.,Negative,
101,The team's victory secured their spot in the playoffs.,Positive,
102,A last-minute goal sealed the team's fate in the tournament.,Negative,
103,The unexpected defeat left fans stunned and disappointed.,Negative,
104,The sportsmanship displayed by both teams was commendable.,Positive,
105,The team's performance was lackluster and disappointing.,Negative,
106,The team's recent winning streak has fans excited.,Positive,
107,The superstar's return from injury sparked hope for the team.,Positive,
108,The match was marred by accusations of cheating.,Negative,
109,The young prodigy's talent is capturing the attention of fans.,Positive,
110,The team's historic victory will be remembered for years to come.,Positive,
111,The controversial call by the referee overshadowed the game.,Negative,
112,The team's humiliating defeat shattered their confidence.,Negative,
113,The veteran player's retirement saddened fans worldwide.,Negative,
114,The team's unexpected loss stunned everyone.,Negative,
115,The rookie's mistake cost the team the game.,Negative,
116,The coach's innovative strategy paid off in the crucial match.,Positive,
117,The team's impressive performance silenced the critics.,Positive,
118,The championship win brought joy to the entire city.,Positive,
119,The team's morale is at an all-time low after the recent defeat.,Negative,
120,The thrilling comeback victory electrified the crowd.,Positive,
121,The controversial decision by the league sparked debate among fans.,Negative,
122,The team's star player is facing allegations of misconduct.,Negative,
123,The intense rivalry between the two teams led to a heated match.,Negative,
124,The fan-favorite player's injury devastated supporters.,Negative,
125,The team's unity and determination led them to victory.,Positive,
126,The coach's resignation shocked the sports world.,Negative,
127,The team's performance has been inconsistent this season.,Neutral,
128,The dramatic finish to the game left fans on the edge of their seats.,Positive,
129,The team's captain's leadership is inspiring the younger players.,Positive,
130,The controversial decision by the referee changed the outcome of the game.,Negative,
131,The team's unexpected defeat stunned the entire league.,Negative,
132,The superstar's return to form has rejuvenated the team.,Positive,
133,The match ended in a thrilling overtime victory.,Positive,
134,The team's disappointing loss dashed their championship hopes.,Negative,
135,The rivalry game ended in a hard-fought draw.,Neutral,
136,The young prospect's potential is generating excitement among fans.,Positive,
137,The team's resilience in the face of adversity is admirable.,Positive,
138,The controversial call by the umpire sparked outrage among fans.,Negative,
139,The team's performance has been lackluster in recent weeks.,Negative,
140,The unexpected trade deal shocked fans and players alike.,Negative,
141,The coach's motivational tactics are paying dividends for the team.,Positive,
142,The team's victory in the final seconds stunned their opponents.,Positive,
143,The controversial decision by the referee overshadowed the game.,Negative,
144,The team's recent string of losses has fans concerned.,Negative,
145,The young phenom's breakout performance wowed spectators.,Positive,
146,The team's championship aspirations are in jeopardy after the recent defeat.,Negative,
147,The thrilling overtime win sent fans into a frenzy.,Positive,
148,The controversial ruling by the officials changed the course of the game.,Negative,
149,The team's dedication to their craft is evident in their recent performances.,Positive,
150,The devastating loss in the playoffs crushed the team's hopes of a championship.,Negative,
151,The coach's decision to switch up the lineup paid off in the crucial match.,Positive,
152,The team's unity and camaraderie are their greatest strengths.,Positive,
153,The contentious decision by the referee incited anger among fans.,Negative,
154,The team's unexpected victory shocked the league.,Positive,
155,The controversial trade deal sparked controversy among fans.,Negative,
156,The team's star player's suspension is a major blow to their chances.,Negative,
157,The thrilling victory in overtime lifted the team's spirits.,Positive,
158,The team's disappointing performance has fans questioning their abilities.,Negative,
159,The unexpected defeat in the championship game stunned spectators.,Negative,
160,The young rookie's impressive debut has fans excited for the future.,Positive,
161,The team's recent winning streak has reignited hope among supporters.,Positive,
162,The controversial ruling by the referee changed the outcome of the game.,Negative,
163,The team's dominant performance solidified their position as contenders.,Positive,
164,The heartbreaking loss in the final seconds devastated fans.,Negative,
165,The team's resilience in the face of adversity is commendable.,Positive,
166,The controversial decision by the league office has divided fans.,Negative,
167,The team's victory secured their place in the playoffs.,Positive,
168,The disappointing defeat in the championship match left fans in disbelief.,Negative,
169,The unexpected trade deal sent shockwaves through the sports community.,Negative,
170,The coach's inspiring halftime speech motivated the team to victory.,Positive,
171,The team's stunning upset win against the top-ranked opponent surprised everyone.,Positive,
172,The controversial call by the umpire incited anger among fans.,Negative,
173,The team's recent slump has fans worried about their postseason prospects.,Negative,
174,The young phenom's extraordinary performance left spectators in awe.,Positive,
175,The devastating loss in the conference finals ended the team's championship hopes.,Negative,
176,The coach's decision to rest key players backfired in the crucial match.,Negative,
177,The team's chemistry on the field is undeniable.,Positive,
178,The contentious ruling by the officials sparked outrage among fans.,Negative,
179,The team's unexpected victory propelled them into playoff contention.,Positive,
180,The controversial trade deal raised eyebrows across the league.,Negative,
181,The team's star player's injury is a major setback for the season.,Negative,
182,The thrilling overtime win showcased the team's resilience.,Positive,
183,The team's lackluster performance has fans calling for changes.,Negative,
184,The devastating defeat in the championship match left fans heartbroken.,Negative,
185,The rookie sensation's breakout performance has fans excited for the future.,Positive,
186,The team's recent winning streak has injected new hope into the season.,Positive,
187,The controversial ruling by the referee ignited fury among fans.,Negative,
188,The team's dominant performance silenced their doubters.,Positive,
189,The heartbreaking loss in the final minutes crushed the team's hopes.,Negative,
190,The team's determination to succeed is evident in every game.,Positive,
191,The contentious decision by the league office has sparked controversy.,Negative,
192,The team's victory secured their spot in the playoffs.,Positive,
193,The disappointing defeat in the championship game left fans devastated.,Negative,
194,The unexpected trade deal sent shockwaves through the sports world.,Negative,
195,The coach's motivational speech inspired the team to victory.,Positive,
196,The team's surprising win against the top-ranked opponent shocked everyone.,Positive,
197,The controversial call by the umpire drew criticism from fans.,Negative,
198,The team's recent struggles have fans worried about their playoff chances.,Negative,
199,The young phenom's remarkable performance exceeded all expectations.,Positive,
200,The devastating loss in the semifinals ended the team's championship dreams.,Negative,
201,The coach's decision to switch up the lineup paid dividends in the crucial game.,Positive,
202,The team's camaraderie off the field translates to success on the field.,Positive,
203,The contentious decision by the officials drew criticism from all sides.,Negative,
204,The team's unexpected victory propelled them to the top of the standings.,Positive,
205,The controversial trade deal has left fans questioning the front office.,Negative,
206,The team's star player's absence is felt throughout the lineup.,Negative,
207,The thrilling overtime victory showcased the team's resilience.,Positive,
208,The team's lackluster performance has fans demanding change.,Negative,
209,The devastating defeat in the championship match left fans in tears.,Negative,
210,The rookie sensation's breakout game has fans buzzing with excitement.,Positive,
211,The team's recent winning streak has injected new life into the season.,Positive,
212,The controversial decision by the referee sparked outrage among supporters.,Negative,
213,The team's dominant display of skill silenced their critics.,Positive,
214,The heartbreaking loss in the final seconds shattered the team's dreams.,Negative,
215,The team's unwavering determination is their greatest asset.,Positive,
216,The contentious decision by the league office has sparked outrage.,Negative,
217,The unexpected trade deal sent shockwaves through the sports community.,Negative,
218,The coach's inspiring halftime speech motivated the team to victory.,Positive,
219,The team's stunning upset win against the favored opponent surprised everyone.,Positive,
220,The controversial call by the umpire incited anger among fans.,Negative,
221,The team's recent slump has fans worried about their postseason prospects.,Negative,
222,The young phenom's extraordinary performance left spectators in awe.,Positive,
223,The devastating loss in the conference finals ended the team's championship hopes.,Negative,
224,The coach's decision to rest key players backfired in the crucial match.,Negative,
225,The team's chemistry on the field is undeniable.,Positive,
226,The contentious ruling by the officials sparked outrage among fans.,Negative,
227,The team's unexpected victory propelled them into playoff contention.,Positive,
228,The controversial trade deal raised eyebrows across the league.,Negative,
229,The team's star player's injury is a major setback for the season.,Negative,
230,The thrilling overtime win showcased the team's resilience.,Positive,
231,The team's lackluster performance has fans calling for changes.,Negative,
232,The devastating defeat in the championship match left fans heartbroken.,Negative,
233,The rookie sensation's breakout performance has fans excited for the future.,Positive,
234,The team's recent winning streak has injected new hope into the season.,Positive,
235,The controversial ruling by the referee ignited fury among fans.,Negative,
236,The team's dominant performance silenced their doubters.,Positive,
237,The heartbreaking loss in the final minutes crushed the team's hopes.,Negative,
238,The team's determination to succeed is evident in every game.,Positive,
239,The contentious decision by the league office has sparked controversy.,Negative,
240,The team's victory secured their spot in the playoffs.,Positive,
241,The disappointing defeat in the championship game left fans devastated.,Negative,
242,The unexpected trade deal sent shockwaves through the sports world.,Negative,
243,The coach's motivational speech inspired the team to victory.,Positive,
244,The team's surprising win against the top-ranked opponent shocked everyone.,Positive,
245,The controversial call by the umpire drew criticism from fans.,Negative,
246,The team's recent struggles have fans worried about their playoff chances.,Negative,
247,The young phenom's remarkable performance exceeded all expectations.,Positive,
248,The devastating loss in the semifinals ended the team's championship dreams.,Negative,
249,The coach's decision to switch up the lineup paid dividends in the crucial game.,Positive,
250,The team's camaraderie off the field translates to success on the field.,Positive,
251,The contentious decision by the officials drew criticism from all sides.,Negative,
252,The team's unexpected victory propelled them to the top of the standings.,Positive,
253,The controversial trade deal has left fans questioning the front office.,Negative,
254,The team's star player's absence is felt throughout the lineup.,Negative,
255,The thrilling overtime victory showcased the team's resilience.,Positive,
256,The team's lackluster performance has fans demanding change.,Negative,
257,The devastating defeat in the championship match left fans in tears.,Negative,
258,The rookie sensation's breakout game has fans buzzing with excitement.,Positive,
259,The team's recent winning streak has injected new life into the season.,Positive,
260,The controversial decision by the referee sparked outrage among supporters.,Negative,
261,The team's dominant display of skill silenced their critics.,Positive,
262,The heartbreaking loss in the final seconds shattered the team's dreams.,Negative,
263,The team's unwavering determination is their greatest asset.,Positive,
264,The contentious decision by the league office has sparked outrage.,Negative,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
